Date,Share Code,High,Low,Previous,Open,Close,Total Shares Traded,Last
3/17/2017,CAL,0.78,0.65,0.74,0.74,0.74,900,0.74
3/20/2017,CAL,0.78,0.65,0.74,0.74,0.73,700,0.74
3/21/2017,CAL,0.78,0.65,0.73,0.73,0.73,18100,0.74
3/22/2017,CAL,0.78,0.65,0.73,0.73,0.73,1000,0.74
3/23/2017,CAL,0.78,0.65,0.73,0.73,0.73,5700,0.74
3/24/2017,CAL,0.78,0.65,0.73,0.73,0.73,51500,0.74
3/27/2017,CAL,0.8,0.65,0.73,0.73,0.8,300,0.8
3/28/2017,CAL,0.8,0.65,0.8,0.8,0.8,0,0.8
3/29/2017,CAL,0.8,0.65,0.8,0.8,0.68,106000,0.68
3/30/2017,CAL,0.8,0.58,0.68,0.68,0.58,4600,0.58
3/31/2017,CAL,0.8,0.49,0.58,0.58,0.49,6748900,0.5
4/3/2017,CAL,0.8,0.49,0.49,0.49,0.49,0,0.5
4/4/2017,CAL,0.8,0.49,0.49,0.49,0.54,14100,0.55
4/5/2017,CAL,0.8,0.49,0.54,0.54,0.6,5000,0.6
4/6/2017,CAL,0.8,0.49,0.6,0.6,0.68,30200,0.69
4/7/2017,CAL,0.8,0.49,0.68,0.68,0.72,8500,0.72
4/10/2017,CAL,0.8,0.49,0.72,0.72,0.71,1600,0.7
4/11/2017,CAL,0.8,0.49,0.71,0.72,0.68,52300,0.68
4/12/2017,CAL,0.8,0.49,0.68,0.68,0.67,139300,0.67
4/13/2017,CAL,0.8,0.49,0.67,0.67,0.67,16700,0.67
4/18/2017,CAL,0.8,0.49,0.67,0.67,0.67,2300,0.67
4/19/2017,CAL,0.8,0.49,0.67,0.67,0.58,200,0.58
4/20/2017,CAL,0.8,0.49,0.58,0.58,0.6,1100,0.6
4/21/2017,CAL,0.8,0.49,0.6,0.6,0.65,16300,0.65
4/24/2017,CAL,0.8,0.49,0.65,0.65,0.65,0,0.65
4/25/2017,CAL,0.8,0.49,0.65,0.65,0.66,2400,0.66
4/26/2017,CAL,0.8,0.49,0.66,0.66,0.75,100,0.75
4/27/2017,CAL,0.8,0.49,0.75,0.75,0.69,1000,0.69
4/28/2017,CAL,0.8,0.49,0.69,0.69,0.72,19400,0.72
5/2/2017,CAL,0.8,0.49,0.72,0.72,0.72,14500,0.72
5/3/2017,CAL,0.8,0.49,0.72,0.72,0.72,6200,0.72
5/4/2017,CAL,0.8,0.49,0.72,0.72,0.73,256000,0.75
5/5/2017,CAL,0.8,0.49,0.73,0.73,0.73,500,0.75
5/8/2017,CAL,0.8,0.49,0.73,0.73,0.74,1300,0.74
5/9/2017,CAL,0.8,0.49,0.74,0.74,0.74,0,0.74
5/10/2017,CAL,0.8,0.49,0.74,0.74,0.74,755400,0.74
5/11/2017,CAL,0.8,0.49,0.74,0.74,0.74,10000,0.74
5/12/2017,CAL,0.8,0.49,0.74,0.74,0.74,900,0.74
5/15/2017,CAL,0.8,0.49,0.74,0.74,0.75,4000,0.74
5/16/2017,CAL,0.8,0.49,0.75,0.74,0.75,9000,0.74
5/17/2017,CAL,0.8,0.49,0.75,0.74,0.76,6600,0.74
5/18/2017,CAL,0.8,0.49,0.76,0.76,0.77,4000,0.77
5/19/2017,CAL,0.8,0.49,0.77,0.76,0.77,700,0.77
5/22/2017,CAL,0.8,0.49,0.77,0.76,0.77,8900,0.77
5/23/2017,CAL,0.8,0.49,0.77,0.76,0.77,164600,0.77
5/24/2017,CAL,0.8,0.49,0.77,0.76,0.77,700,0.77
5/26/2017,CAL,0.8,0.49,0.77,0.76,0.77,500,0.77
5/29/2017,CAL,0.8,0.49,0.77,0.76,0.77,100000,0.77
5/30/2017,CAL,0.8,0.49,0.77,0.76,0.77,5300,0.77
5/31/2017,CAL,0.8,0.49,0.77,0.76,0.77,1400,0.77
6/1/2017,CAL,0.8,0.49,0.77,0.76,0.77,1000,0.77
6/2/2017,CAL,0.8,0.49,0.77,0.76,0.77,115200,0.77
6/5/2017,CAL,0.8,0.49,0.77,0.76,0.77,0,0.77
6/6/2017,CAL,0.8,0.49,0.77,0.77,0.77,87700,0.77
6/7/2017,CAL,0.8,0.49,0.77,0.77,0.78,3800,0.78
6/8/2017,CAL,0.8,0.49,0.78,0.77,0.8,1600,0.78
6/9/2017,CAL,0.8,0.49,0.8,0.8,0.8,8400,0.78
6/12/2017,CAL,0.8,0.49,0.8,0.8,0.8,37000,0.78
6/13/2017,CAL,0.8,0.49,0.8,0.8,0.8,1500,0.78
6/14/2017,CAL,0.81,0.49,0.8,0.8,0.81,3100,0.81
6/15/2017,CAL,0.81,0.49,0.81,0.8,0.82,100,0.82
6/16/2017,CAL,0.81,0.49,0.82,0.82,0.82,50500,0.82
6/19/2017,CAL,0.81,0.49,0.82,0.82,0.82,0,0.82
6/20/2017,CAL,0.81,0.49,0.82,0.82,0.82,4100,0.82
6/21/2017,CAL,0.82,0.49,0.82,0.82,0.82,1000,0.82
6/22/2017,CAL,0.83,0.49,0.82,0.82,0.83,100,0.83
6/23/2017,CAL,0.85,0.49,0.83,0.82,0.85,39100,0.85
6/27/2017,CAL,0.85,0.49,0.85,0.82,0.85,16200,0.87
6/28/2017,CAL,0.85,0.49,0.85,0.82,0.85,700,0.87
6/29/2017,CAL,0.85,0.49,0.85,0.85,0.85,13600,0.87
6/30/2017,CAL,0.85,0.49,0.85,0.85,0.85,11000,0.87
7/4/2017,CAL,0.85,0.49,0.85,0.85,0.85,3600,0.85
7/5/2017,CAL,0.85,0.49,0.85,0.85,0.85,300,0.85
7/6/2017,CAL,0.85,0.49,0.85,0.85,0.85,21500,0.85
7/7/2017,CAL,0.85,0.49,0.85,0.85,0.85,12500,0.85
7/10/2017,CAL,0.85,0.49,0.85,0.85,0.85,4600,0.85
7/11/2017,CAL,0.87,0.49,0.85,0.85,0.86,44800,0.85
7/12/2017,CAL,0.87,0.49,0.86,0.86,0.85,10300,0.84
7/13/2017,CAL,0.87,0.49,0.85,0.86,0.85,600,0.85
7/14/2017,CAL,0.87,0.49,0.85,0.85,0.85,373600,0.85
7/17/2017,CAL,0.88,0.49,0.85,0.85,0.88,2200,0.88
7/18/2017,CAL,0.88,0.49,0.88,0.88,0.88,2900,0.88
7/19/2017,CAL,0.88,0.49,0.88,0.88,0.88,3400,0.88
7/20/2017,CAL,0.9,0.49,0.88,0.88,0.9,81800,0.9
7/21/2017,CAL,0.9,0.49,0.9,0.88,0.9,112600,0.9
7/24/2017,CAL,0.9,0.49,0.9,0.9,0.9,4300,0.9
7/25/2017,CAL,0.9,0.49,0.9,0.9,0.9,33800,0.9
7/26/2017,CAL,0.9,0.49,0.9,0.9,0.9,10100,0.9
7/27/2017,CAL,0.9,0.49,0.9,0.9,0.9,0,0.9
7/28/2017,CAL,0.9,0.49,0.9,0.9,0.9,0,0.9
7/31/2017,CAL,0.9,0.49,0.9,0.9,0.9,12000,0.9
8/1/2017,CAL,0.9,0.49,0.9,0.9,0.9,1600,0.9
8/2/2017,CAL,0.9,0.49,0.9,0.9,0.88,3900,0.88
8/3/2017,CAL,0.9,0.49,0.88,0.88,0.88,193900,0.88
8/4/2017,CAL,0.9,0.49,0.88,0.88,0.88,279700,0.88
8/7/2017,CAL,0.9,0.49,0.88,0.88,0.88,127800,0.88
8/8/2017,CAL,0.9,0.49,0.88,0.88,0.88,12000,0.88
8/9/2017,CAL,0.9,0.49,0.88,0.88,0.9,105700,0.9
8/10/2017,CAL,0.9,0.49,0.9,0.9,0.9,0,0.9
8/11/2017,CAL,0.91,0.49,0.9,0.9,0.91,40000,0.91
8/14/2017,CAL,0.91,0.49,0.91,0.91,0.91,148800,0.91
8/15/2017,CAL,0.91,0.49,0.91,0.91,0.91,3200,0.91
8/16/2017,CAL,0.91,0.49,0.91,0.91,0.91,2653600,0.91
